,City,Country,Date,Latitude,Longitude,Temperature,Humidity,Wind speed,Cloudliness
0,Hanzhong,CN,1517108517,33.08,107.03,23.75,79,2.91,88
1,Jiexiu,CN,1517108517,37.02,111.92,17.36,45,3.91,8
2,Dauriya,RU,1517108517,49.93,116.85,-5.05,63,13.8,36
3,Henties Bay,NA,1517108518,-22.12,14.28,62.36,100,1.9,76
4,Jaragua,BR,1517104800,-15.76,-49.33,69.8,88,2.24,40
5,Allapalli,IN,1517108519,19.43,80.06,64.97,74,3.02,0
6,Atamanovka,RU,1517106600,51.92,113.65,-0.41,54,22.37,40
7,Hearst,CA,1517108520,49.69,-83.67,12.86,65,9.62,68
8,Gorontalo,ID,1517108520,0.54,123.06,85.13,67,3.24,48
9,Kailua,US,1517106840,21.39,-157.74,80.6,88,3.36,90
10,Los Llanos de Aridane,ES,1517106600,28.66,-17.92,62.6,67,20.8,90
11,Tasiilaq,GL,1517107800,65.61,-37.64,26.6,42,5.82,48
12,Coburg,DE,1517108404,50.26,10.96,37.66,95,13.42,68
13,Malmesbury,ZA,1517104800,-33.46,18.72,66.2,72,13.87,0
14,Kupang,ID,1517104800,-10.16,123.6,80.6,94,21.92,90
15,Madaoua,NE,1517108523,14.07,5.96,59.89,41,10.96,0
16,Faanui,PF,1517108523,-16.48,-151.75,82.07,100,14.36,44
17,Kiama,AU,1517104800,-34.67,150.86,86.0,62,17.22,40
18,Marsh Harbour,BS,1517108524,26.54,-77.06,74.83,100,24.38,92
19,Shenzhen,CN,1517106600,22.54,114.05,64.4,77,9.17,40
20,Mocuba,MZ,1517108525,-16.84,36.99,73.3,91,2.73,88
21,Kaeo,NZ,1517108525,-35.1,173.78,74.6,70,16.44,76
22,Veracruz,MX,1517103900,24.02,-103.93,59.0,22,3.36,5
23,Boende,CD,1517108526,-0.28,20.88,70.6,89,3.06,24
24,Sao Jose da Coroa Grande,BR,1517108527,-8.9,-35.15,72.13,98,4.36,12
25,Tessalit,ML,1517108527,20.2,1.01,54.4,57,8.43,36
26,Axim,GH,1517108527,4.87,-2.24,80.41,100,7.61,0
27,Tambovka,RU,1517108528,47.32,47.38,-2.13,74,13.58,0
28,Ushtobe,KZ,1517108528,45.25,77.98,-27.19,41,3.13,24
29,Biltine,TD,1517108528,14.53,20.93,56.15,29,15.14,0
30,Antsohihy,MG,1517108529,-14.88,47.99,71.41,99,3.4,32
31,Srednekolymsk,RU,1517108529,67.46,153.71,-15.45,69,3.74,0
32,Adrar,DZ,1517104800,27.87,-0.29,46.4,42,24.16,88
33,Charkhi Dadri,IN,1517108530,28.59,76.27,43.82,82,2.8,0
34,Beaverlodge,CA,1517104800,55.21,-119.43,-0.41,70,3.36,90
35,Soller,ES,1517108532,39.77,2.72,55.3,92,13.91,56
36,Taormina,IT,1517106000,37.85,15.29,53.6,93,4.7,75
37,Kahului,US,1517107140,20.89,-156.47,75.2,88,5.03,90
38,Fortuna,US,1517106900,40.6,-124.16,55.4,87,9.17,90
39,Nador,MA,1517104800,35.17,-2.93,51.8,66,9.17,0
40,Hibbing,US,1517106900,47.43,-92.94,12.2,85,12.75,90
41,Puerto Ayacucho,VE,1517108534,5.66,-67.62,76.99,82,2.51,48
42,Astoria,US,1517108100,46.19,-123.83,48.2,87,5.82,90
43,Bonavista,CA,1517108534,48.65,-53.11,20.6,100,15.88,48
44,Spearfish,US,1517106900,44.49,-103.86,19.4,85,3.8,0
45,Denpasar,ID,1517104800,-8.65,115.22,84.2,79,9.17,20
46,Yulara,AU,1517104800,-25.24,130.99,96.8,34,6.93,20
47,Vostok,RU,1517108536,46.45,135.83,-9.78,49,6.53,24
48,Luderitz,NA,1517104800,-26.65,15.16,64.4,77,17.22,0
49,Carbonear,CA,1517104800,47.73,-53.24,21.2,79,17.22,75
50,Avarua,CK,1517104800,-21.21,-159.78,84.2,70,10.29,40
51,Pisco,PE,1517104800,-13.71,-76.2,71.6,78,16.11,0
52,Beroroha,MG,1517108539,-21.68,45.17,72.08,98,3.13,56
53,Banda Aceh,ID,1517108447,5.56,95.32,80.36,91,1.05,8
54,Korla,CN,1517108542,41.76,86.15,-3.7,69,4.36,32
55,Barrow,US,1517106900,39.51,-90.4,35.6,64,6.76,1
56,Nikolskoye,RU,1517106600,59.7,30.79,33.8,86,6.71,90
57,Galveston,US,1517106900,40.58,-86.19,37.4,74,4.7,1
58,Ilebo,CD,1517108544,-4.33,20.59,68.71,100,2.73,92
59,Aksu,CN,1517108544,41.12,80.26,8.95,86,3.58,88
60,Mozhga,RU,1517108545,56.44,52.22,1.48,71,16.33,12
61,Lyuban,BY,1517108545,52.8,28.0,26.95,93,3.24,80
62,Susangerd,IR,1517104800,31.56,48.19,48.2,66,6.93,0
63,Abadan,IR,1517104800,30.36,48.26,42.8,81,4.7,0
64,Bhalki,IN,1517108546,18.04,77.21,65.56,46,7.54,8
65,Los Andes,CL,1517108400,-32.83,-70.6,75.2,33,4.7,0
66,Irbeyskoye,RU,1517108547,55.64,95.45,-9.37,67,11.12,32
67,Lavrentiya,RU,1517108548,65.58,-170.99,16.78,99,6.38,64
68,Aasiaat,GL,1517108548,68.71,-52.87,15.61,100,4.07,88
69,Watsa,CD,1517108549,3.04,29.53,58.67,72,3.51,0
70,Preobrazheniye,RU,1517108549,42.9,133.91,5.89,39,5.82,56
71,Agadez,NE,1517108550,16.97,7.99,51.61,50,7.38,0
72,Cayenne,GF,1517106600,4.94,-52.33,78.8,78,8.05,20
73,Emilio Carranza,MX,1517108550,19.97,-96.61,66.28,99,4.25,64
74,Dom Pedrito,BR,1517108551,-30.98,-54.67,68.44,98,8.43,92
75,Alta Floresta,BR,1517108551,-9.87,-56.08,70.91,99,2.06,88
76,Puerto del Rosario,ES,1517106600,28.5,-13.86,60.8,59,28.86,0
77,Moussoro,TD,1517108552,13.64,16.49,60.11,25,13.31,0
78,Naze,JP,1517104800,28.37,129.48,62.6,72,13.87,75
79,Kotelniki,RU,1517106600,55.66,37.87,21.2,79,8.95,75
80,Jamestown,SH,1517108554,-15.94,-5.72,71.41,100,16.71,92
81,Pangody,RU,1517108554,65.85,74.49,14.71,77,15.43,56
82,Havre-Saint-Pierre,CA,1517104800,50.23,-63.6,26.6,92,11.41,90
83,Victoria,SC,1517104800,-4.62,55.45,78.8,83,4.7,75
84,Clyde River,CA,1517104800,70.47,-68.59,-29.21,73,5.82,1
85,Ancud,CL,1517108556,-41.87,-73.83,48.23,88,3.36,0
86,Vaini,TO,1517104800,-21.2,-175.2,82.4,78,8.05,90
87,Arara,BR,1517108557,-6.83,-35.76,70.55,89,4.92,56
88,Jumla,NP,1517108558,29.28,82.18,8.9,57,1.01,0
89,Jiangyou,CN,1517108558,31.78,104.73,38.83,57,6.64,48
90,Springbok,ZA,1517108558,-29.67,17.88,49.58,83,3.24,0
91,Villa Maria,AR,1517108559,-32.41,-63.24,77.03,75,9.95,36
92,Bathsheba,BB,1517104800,13.22,-59.52,78.8,78,20.8,40
93,Sawakin,SD,1517108560,19.1,37.33,56.56,100,11.79,0
94,Kouroussa,GN,1517108560,10.65,-9.88,64.7,61,3.62,36
95,Tarko-Sale,RU,1517108561,64.92,77.78,17.86,87,13.65,76
96,Rehoboth,NA,1517108561,-23.31,17.08,64.39,37,8.28,8
97,Bahir Dar,ET,1517108561,11.59,37.39,46.3,79,3.02,0
98,Kutum,SD,1517108562,14.2,24.66,47.15,35,12.3,44
99,Fujin,CN,1517108562,47.24,132.03,-3.12,75,13.8,20
100,San Cristobal,EC,1517108563,-1.02,-79.44,61.73,100,2.24,88
101,Tiksi,RU,1517108563,71.64,128.87,-30.57,50,2.8,8
102,Sijunjung,ID,1517108564,-0.69,100.95,80.05,65,3.36,64
103,Aykhal,RU,1517108564,65.95,111.51,-13.69,59,3.4,64
104,Bathurst,CA,1517104800,47.63,-65.65,19.4,79,3.36,75
105,Lincoln,US,1517108040,40.8,-96.67,35.6,65,4.7,1
106,Narsaq,GL,1517107800,60.91,-46.05,23.0,73,14.99,48
107,Grand Gaube,MU,1517104800,-20.01,57.66,77.0,88,3.36,40
108,Ihosy,MG,1517108566,-22.4,46.13,62.23,96,2.39,0
109,Risod,IN,1517108566,19.98,76.79,59.08,58,3.02,0
110,Kamaishi,JP,1517104800,39.28,141.86,32.0,65,9.17,75
111,Sola,VU,1517108567,-13.88,167.55,85.18,89,15.48,88
112,Guanambi,BR,1517108567,-14.22,-42.78,68.53,90,3.02,80
113,Leningradskiy,RU,1517108568,69.38,178.42,20.38,75,13.42,0
114,San Jeronimo,MX,1517103600,29.37,-110.79,71.6,24,4.7,5
